TempID,SiteID,Survey_Ref,Modern Name,Ancient Name,Local-Easting,Local-Northing,Easting-Long,Northing-Lat,SiteSize,PopulationEstimate,Regions-3,Regions-2,Region,GeologicType,SiteType,SiteFunction,BurialType,Reference,Period,Rainfall,Temperature,Elevation,Slope,Aspect,Cattle/km2,Goats/km2,Pigs/km2,Sheep/km2
4451,3067,ASI207-104,Lutz Cliffs 3,,165097,484342,34.63850121,30.44768265,,,Poor for Agriculture,Negev,Western Negev,,Single Period,Unknown,Tomb,Avni and Shemesh 2015,Early Bronze Age (Undifferentiated),167,61.63999939,961,9.500591278,111.1048355,0,0.776786,1.53266,6.91877
4452,3068,ASI207-105,Nahal Brokaw 1,,166997,483992,34.65829894,30.44460997,,,Poor for Agriculture,Negev,Western Negev,,Single Period,Unknown,No Burials,Avni and Shemesh 2015,Early Bronze Age (Undifferentiated),143,62.9149971,784,3.670467138,343.8865967,0,0.915931,1.05216,7.62908
4453,3069,ASI207-125,Mountain Cave 3,,160698,481891,34.59284327,30.42536857,,,Poor for Agriculture,Negev,Western Negev,,Single Period,Unknown,No Burials,Avni and Shemesh 2015,Early Bronze Age (Undifferentiated),152,61.53499603,882,2.218327284,278.1300964,0,0.581839,1.57164,8.34644
4454,3070,ASI207-127,Lutz Cliffs 12,,161398,481041,34.6001762,30.41773566,,,Poor for Agriculture,Negev,Western Negev,,Single Period,Unknown,No Burials,Avni and Shemesh 2015,Early Bronze Age (Undifferentiated),150,61.69999695,903,15.96199131,153.5576324,0,0.709705,1.29168,5.42434
4455,3071,ASI207-128,Lutz Cliffs 13,,160998,480991,34.59601607,30.41726534,,,Poor for Agriculture,Negev,Western Negev,,Single Period,Unknown,Tomb,Avni and Shemesh 2015,Early Bronze Age (Undifferentiated),151,61.66999817,921,3.879658222,223.3634186,0,0.808931,1.28706,6.4594
4456,3072,ASI207-129,Nahal Brokaw 4,,165498,481392,34.64282832,30.4210921,0.16,40,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni and Shemesh 2015,Early Bronze Age (Undifferentiated),135,63.24500275,738,1.046789527,257.0053711,0,0.661468,1.28693,6.24538
4457,3076,ASI224-1,Wadi Maqra'a,,156948,479941,34.55392964,30.40759143,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1993,Early Bronze Age (Undifferentiated),122,62.93000031,698,1.298669338,295.0169067,No Data,No Data,No Data,No Data
4458,3081,ASI225-30,Nahal Beroqa,,167298,479592,34.66165216,30.40493548,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),123,64.11500549,670,6.812968254,208.0338593,0,0.82563,0.689988,6.72645
4459,3082,ASI225-31,Nahal Beroqa,,167998,479892,34.66892165,30.40767153,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,64.30999756,712,6.105404854,103.3245316,0,0.759692,0.918075,6.41817
4460,3083,ASI225-34,Nahal Beroqa,,168248,479892,34.67152325,30.40768217,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,64.30999756,682,3.562072992,39.64417648,0,0.759692,0.918075,6.41817
4461,3084,ASI225-35,Nahal Beroqa,,168548,479592,34.67465978,30.40498889,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,64.30999756,654,2.092880726,167.0053864,0,0.759692,0.918075,6.41817
4462,3089,ASI225-48,Biq'at Hissun,,164398,478392,34.63153779,30.39398273,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),128,63.15499878,785,8.650431633,13.53585625,0,0.702377,0.877782,6.45637
4463,3090,ASI225-51,Biq'at Hissun,,165098,478592,34.63881081,30.39581845,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,63.69499588,704,4.464360237,111.6147766,0,0.656323,0.834028,6.0289
4464,3091,ASI225-53,Biq'at Hissun,,166448,478742,34.65285008,30.3972315,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),119,64.13000488,678,6.88002634,26.27421188,0,0.636302,1.02059,6.53901
4465,3093,ASI225-58,Biq'at Hissun,,167648,478642,34.66534135,30.39638163,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,64.29499817,654,1.788785338,15.25511837,0,0.703709,0.872272,6.63089
4466,3094,ASI225-60,Biq'at Hissun,,168248,478442,34.67159425,30.39460325,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),118,64.44499969,658,3.092292309,120.4655457,0,0.733383,0.657682,6.82517
4467,3095,ASI225-61,Biq'at Hissun,,168298,478592,34.67210717,30.39595836,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),118,64.44499969,658,3.231924534,67.16634369,0,0.733383,0.657682,6.82517
4468,3097,ASI225-75,Biq'at Hissun,,164298,477492,34.63054475,30.38586026,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),126,63.30500031,742,5.047991276,119.7448807,0,0.683636,0.87751,6.0863
4469,3098,ASI225-86,Nahal Yafruq,,167598,477292,34.664888,30.38420254,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),119,64.3999939,664,6.437771797,174.4277954,0,0.680236,0.967544,6.54235
4470,3100,ASI225-93,Nahal Yafruq,,168898,477892,34.67838409,30.38966967,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),118,64.74499512,650,4.917090893,13.81502533,0,0.695484,0.784708,6.81146
4471,3105,ASI225-110,Biq'at Hissun,,164198,476792,34.6295413,30.37954175,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),122,63.47000122,749,4.479383469,36.46923447,0,0.765976,0.969408,8.3047
4472,3106,ASI225-112,Biq'at Hissun,,164398,476692,34.63162723,30.37864889,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),122,63.47000122,743,3.548288584,353.6598206,0,0.765976,0.969408,8.3047
4473,3107,ASI225-113,Biq'at Hissun,,164298,476292,34.63060798,30.37503636,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),122,63.47000122,765,5.996124744,39.70991898,0,0.765976,0.969408,8.3047
4474,3109,ASI225-124,Nahal Yafruq,,166498,476692,34.65347409,30.37874282,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),114,64.14499664,687,2.072220564,29.47588921,0,0.743297,0.789493,8.07912
4475,3110,ASI225-126,Nahal Yafruq,,167748,476692,34.66647822,30.378797,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),117,64.32499695,688,4.043365479,305.5376892,0,0.682803,0.494909,8.06406
4476,3116,ASI225-147,Har Saggi,,168148,475092,34.67071794,30.36438208,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,63.93499756,695,4.381493092,24.27444077,0,1.04922,0.778682,9.86966
4477,3127,ASI225-184,Har Saggi,,167898,474142,34.66816423,30.35580244,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),138,62.93000031,879,25.73065948,4.074016094,0,0.922505,0.985626,10.2447
4478,3128,ASI225-186,Har Saggi,,168148,474542,34.67074487,30.35942108,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,63.93499756,745,6.454676628,353.0470276,0,1.04922,0.778682,9.86966
4479,3130,ASI225-189,Har Saggi,,168798,474142,34.67752504,30.3558405,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),136,63.31999969,859,11.98065758,23.58703041,0,1.11177,0.722998,10.8897
4480,3131,ASI225-200,Wadi Guraiya,,161998,473591,34.60682959,30.35056638,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,63.43999481,737,4.388459682,145.1755066,No Data,No Data,No Data,No Data
4481,3132,ASI225-217,Nahal Saggi,,168298,473292,34.67236607,30.34815242,,,Poor for Agriculture,Negev,Western Negev,,Surface,Agricultural,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),136,62.80999756,864,5.127034187,102.3390884,0,0.724177,0.979051,7.03347
4482,3134,ASI225-221,Har Saggi,,168898,473792,34.67858201,30.35268768,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),136,63.31999969,865,11.331604,65.36160278,0,1.11177,0.722998,10.8897
4483,3138,ASI225-239,Nahal Saggi,,168598,472642,34.67551762,30.34230206,,,Poor for Agriculture,Negev,Western Negev,,Surface,Agricultural,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),136,63.03499985,826,11.63690281,76.14858246,0,0.792947,0.878552,8.14487
4484,3139,ASI225-240,Nahal Saggi,,168598,472892,34.67550549,30.34455707,,,Poor for Agriculture,Negev,Western Negev,,Surface,Agricultural,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),136,63.03499985,837,7.752793312,95.19442749,0,0.792947,0.878552,8.14487
4485,3141,ASI225-245,Wadi Guraiya,,162848,471291,34.61579391,30.32986061,,,Poor for Agriculture,Negev,Western Negev,,Surface,Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),108,64.35500336,663,1.788785338,142.1250153,No Data,No Data,No Data,No Data
4486,3142,ASI225-262,Nahal Saggi,,169398,471442,34.68389446,30.33151138,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),124,63.59000397,781,10.35824585,199.249527,0,0.66341,0.971158,5.60578
4487,3143,ASI225-278,Har Saggi,,168298,470842,34.67248554,30.32605333,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),128,63.18499756,817,20.53237152,221.4421539,0,0.601045,0.881924,4.55344
4488,3144,ASI225-281,Nahal Saggi,,169298,470942,34.68287852,30.32699721,,,Poor for Agriculture,Negev,Western Negev,,Surface (main),Unknown,No Burials,Avni 1992,Early Bronze Age (Undifferentiated),121,63.62000275,754,6.96030426,86.78451538,0,0.624849,0.839986,5.08137
4489,3145,ASI234-19,Nahal Pahami,,174900,443742,34.74227521,30.0818639,,,Poor for Agriculture,Negev,Southern Negev,,Single Period,Unknown,No Burials,Israel 2015,Early Bronze Age (Undifferentiated),60,67.47499847,484,0.744379699,288.4349365,0,0.41743,0.133613,4.50918
4490,3155,ASI256-14,Biq'at Sayyarim (Northeast),,188015,419226,34.87902972,29.86111821,,,Poor for Agriculture,Negev,Southern Negev,,Single Period,Unknown,No Burials,Barda et al. 2010,Early Bronze Age (Undifferentiated),49,67.12999725,537,1.265067816,262.8749695,0,0.589944,0.053305,6.05803
4491,3157,ASI256-22,Biq'at Sayyarim,,185150,418000,34.8494176,29.84998217,,,Poor for Agriculture,Negev,Southern Negev,,Surface,Unknown,No Burials,Barda et al. 2010,Early Bronze Age (Undifferentiated),49,66.05000305,573,5.876496315,64.7988739,0,0.438172,0.079359,3.67462
4492,3159,ASI256-27,Biq'at Sayyarim,,182750,417370,34.8246032,29.84422992,,,Poor for Agriculture,Negev,Southern Negev,,Surface,Unknown,Tomb,Barda et al. 2010,Early Bronze Age (Undifferentiated),52,65.29999542,649,5.693806648,127.1847076,0,0.500177,0.080652,4.02716
4493,3160,ASI256-32,Biq'at Sayyarim,,183500,417800,34.83234959,29.848131,,,Poor for Agriculture,Negev,Southern Negev,,Surface (main),Unknown,No Burials,Barda et al. 2010,Early Bronze Age (Undifferentiated),50,65.64499664,597,3.197592735,348.6900635,0,0.513499,0.080385,4.18537
4494,3161,ASI256-37,Nahal Berekh,,187850,417400,34.87737573,29.84464174,,,Poor for Agriculture,Negev,Southern Negev,,Surface,Unknown,No Burials,Barda et al. 2010,Early Bronze Age (Undifferentiated),50,66.55999756,560,4.497072697,305.073761,0,0.440316,0.069451,4.15856
4495,3162,ASI256-45,Biq'at Sayyarim,,182800,416050,34.82516556,29.8323238,,,Poor for Agriculture,Negev,Southern Negev,,Surface,Unknown,No Burials,Barda et al. 2010,Early Bronze Age (Undifferentiated),50,65.375,649,2.718465805,326.76828,0,0.550586,0.079155,4.47559
4496,3164,ASI256-71,Biq'at Sayyarim (Center),,185523,414016,34.85340314,29.81405302,,,Poor for Agriculture,Negev,Southern Negev,,Surface (main),Unknown,Tomb,Barda et al. 2010,Early Bronze Age (Undifferentiated),48,65.77999878,599,4.203526497,26.56505203,0,0.549581,0.077427,4.99114
4497,3167,ASI256-111,Wadi Abu Dhiyaba,,184600,410500,34.84396875,29.78230953,,,Poor for Agriculture,Negev,Southern Negev,,Surface,Unknown,No Burials,Barda et al. 2010,Early Bronze Age (Undifferentiated),54,64.72999573,729,2.422217131,29.05460358,0,0.568654,0.082688,6.19805
4498,3168,ASI256-114,Nahal Seguv,,185700,410650,34.85533954,29.78369319,,,Poor for Agriculture,Negev,Southern Negev,,Single Period,Unknown,Cist Tomb,Barda et al. 2010,Early Bronze Age (Undifferentiated),50,65.27000427,680,4.274185658,346.2184143,0,0.529792,0.075047,5.3725
4499,3172,ASI256-123,Har Basemat,,188850,410650,34.88791532,29.78377516,,,Poor for Agriculture,Negev,Southern Negev,,Single Period,Unknown,No Burials,Barda et al. 2010,Early Bronze Age (Undifferentiated),54,65.80999756,728,2.727483749,341.5650635,0,0.616484,0.080058,6.31223
4500,3305,AS-0,"Bek, Tell",,264767.293,4002151.649,36.38580062,36.13557445,,,Refugia,Amuq,Amuq Valley,,Unknown,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),763,66.27500153,104,2.283839226,195.9453888,19.4617,1.87742,0.006195,2.9303
4501,3306,AS-4,Boz Hoyuk,,273191.798,4055409.33,36.46380555,36.61725003,0.6,150,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),738,66.58999634,122,3.762724161,211.3730011,9.54749,5.12435,0.00175,20.2973
4502,3307,AS-5,Guzelce,,268977.166,4052536,36.41758333,36.59036113,2,500,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),757,66.44000244,123,2.286528111,95.90614319,10.7495,5.16161,0.001445,18.1876
4503,3309,AS-10,Balama (Ain al-Samah),,253708.0688,4032076.967,36.25359291,36.40231305,1.9,475,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),869,66.33499146,93,2.153668165,169.5085297,50.0615,10.3329,0.002807,17.8792
4504,3312,AS-15,Koyuncuhoyuk,,266358.5,4042927.79,36.39125,36.50319447,1.3,325,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),765,66.69499969,99,1.937300801,301.759491,13.0345,3.48762,0.029373,16.2724
4505,3314,AS-27,Kirkhiz Pinar (now Bas Pinar),,276376.1748,4040286.799,36.50376917,36.48180105,2.25,562.5,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),702,66.61999512,101,1.859573364,207.6459808,9.81213,8.7489,0.00767,30.5625
4506,3316,AS-31,"Wasfe, Tell",,274137.441,4038929.64,36.47919691,36.46905258,0.28,70,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),707,66.61999512,87,0.49626863,198.4349518,11.0517,6.73967,0.009445,20.1565
4507,3317,AS-35,Balderan,,270961.6904,4035074.509,36.44492442,36.43357851,2.8,700,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),731,66.54499817,92,1.940471768,255.9637604,20.3744,9.16317,0.001484,22.1963
4508,3321,AS-55,"Kurcaoglu Kurcoglu, Tell",,278430.9858,4028746.371,36.52998408,36.37833527,,,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),672,66.25999451,110,0.597579837,246.8014069,9.13313,7.50096,0.006556,50.4422
4509,3322,AS-57,"al-Hammam, Tell",,283866.4597,4027888.423,36.59076735,36.37184465,,,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),631,66.84500122,131,3.262135744,125.2175903,9.6927,8.89531,0.005397,62.105
4510,3323,AS-58,"Jindaris, Tell",,292721.6655,4029160.351,36.68906285,36.38525167,,,Refugia,Highlands,Amuq Valley,,Fortified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),582,65.94499969,225,4.002310276,176.6335449,7.80094,23.7531,0,96.8688
4511,3324,AS-58,"Jindaris, Tell",,292728.7397,4029163.928,36.68914071,36.38528542,,,Refugia,Highlands,Amuq Valley,,Fortified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),582,65.94499969,225,4.002310276,176.6335449,7.80094,23.7531,0,96.8688
4512,3325,AS-59,"Bab Lit, Tell",,305439.1729,4039707.561,36.82810798,36.48292791,,,Refugia,Highlands,Amuq Valley,,Fortified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),524,65.55500031,271,3.231924534,194.0362396,8.91327,22.9143,0,115.944
4513,3328,AS-62,"Ain Dara, Tell",,307572.31,4037026.498,36.85257174,36.45920549,,,Refugia,Highlands,Amuq Valley,,Fortified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),502,65.83999634,222,5.431472301,191.6336365,8.58716,20.9616,0,87.5255
4514,3329,AS-62,"Ain Dara, Tell",,307548.7627,4037035.244,36.85230696,36.45927956,,,Refugia,Highlands,Amuq Valley,,Fortified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),502,65.83999634,222,5.431472301,191.6336365,8.58716,20.9616,0,87.5255
4515,3330,AS-63,"Shaik 'Abd al-Rahman, Tell",,299775.8709,4035903.809,36.76591495,36.44749515,,,Refugia,Highlands,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),563,65.21000671,331,4.210791588,260.3624573,4.78974,20.7457,0,95.2258
4516,3331,AS-63,"Shaik 'Abd al-Rahman, Tell",,299787.3115,4036026.796,36.76601074,36.44860545,,,Refugia,Highlands,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),563,65.21000671,330,6.084507942,312.91745,4.78974,20.7457,0,95.2258
4517,3332,AS-66,"Qirbah (Quraibah), Tell",,297040.8742,4032955.118,36.73619136,36.42035775,,,Refugia,Highlands,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),562,65.67500305,265,0.710529923,263.6598206,4.67035,15.9969,0,87.3981
4518,3333,AS-67,"Hamo, Tell",,300347.7953,4033250.012,36.77297552,36.42370777,,,Refugia,Highlands,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),538,65.86999512,237,3.95927906,117.0720825,5.01148,14.8155,0,102.377
4519,3334,AS-72,"Jalhamah, Tell",,300092.0995,4025951.665,36.77200314,36.35790729,,,Refugia,Highlands,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),523,65.67500305,237,7.71238327,241.6207581,4.53155,20.1959,0,104.015
4520,3337,AS-77,"Anbar (cfr. Braidwood), Tell",,259373.545,4017903.72,36.32108333,36.27611111,5.25,1312.5,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),838,66.11000061,86,0.3329117,315,87.1652,13.1343,0.002825,13.6209
4521,3338,AS-81,Yesilova,,253366.748,4017550.79,36.25438889,36.27141668,,,Refugia,Amuq,Amuq Valley,,Unknown,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),901,66.05000305,133,1.898836017,218.2901611,70.9073,13.1991,0.003541,14.4117
4522,3341,AS-86,Karatepe,,262912.6687,4025623.202,36.35810061,36.34650769,11.4,2850,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),801,66.33500671,82,1.965654016,241.3895416,16.5103,8.58479,0.00345,24.1505
4523,3342,AS-86,Karatepe,,262941.857,4025652.39,36.35841667,36.34677774,11.4,2850,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),797,66.34999847,82,1.965654016,241.3895416,16.3109,9.0089,0.003217,25.0038
4524,3343,AS-89,Boztepe,,265896.661,4024470.99,36.39166667,36.3368611,2.1,525,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),767,66.42500305,81,0.784640193,233.1300964,29.4437,7.50723,0.002433,29.8481
4525,3349,AS-104,"al-Terzi, Tell",,266456.7074,4021150.336,36.39889543,36.30709081,5,1250,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),767,66.36500549,83,3.306930542,275.4403381,20.2126,4.74638,0.002422,30.3592
4526,3354,AS-120,"Mirmiran (Anbar), Tell",,260930.6682,4017300.524,36.33858652,36.27106583,3.6,900,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),825,66.11000061,88,0.470802963,270,75.3243,11.6712,0.002422,14.0051
4527,3355,AS-126,"Ta'yinat, Tell",,264341.786,4014615.4,36.37733333,36.24772219,14.5,3625,Refugia,Amuq,Amuq Valley,,Fortified,Agricultural,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),788,66.18499756,97,2.104595184,153.4349518,23.9582,4.83788,0.002298,26.7245
4528,3356,AS-129,"Salihiyyah, Tell",,272061.5507,4013533.745,36.46348527,36.23983232,4.5,1125,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),709,66.39500427,100,3.011900187,218.6598053,24.6104,5.01181,0.001463,36.1188
4529,3357,AS-133,"Bahlilah, Tell",,273735.5254,4014420.789,36.48184066,36.24821518,1.25,312.5,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),695,66.47000122,95,0.954527378,260.5376892,17.84,3.65831,0.002404,41.3571
4530,3358,AS-134,Halak Tepe,,260138.0082,4012963.562,36.33110049,36.23181159,0.5,125,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),838,66.05000305,104,0.948057115,335.5560303,45.6435,10.3121,0.008266,14.8496
4531,3359,AS-134,Halak Tepe,,260105.6748,4012963.562,36.33074107,36.23180356,0.5,125,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),838,66.05000305,104,0.948057115,335.5560303,45.6435,10.3121,0.008266,14.8496
4532,3360,AS-136,"Atchana, Tell",Alalakh,264776.15,4013770.89,36.38241667,36.24022227,12.8,3200,Refugia,Amuq,Amuq Valley,,Fortified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),785,66.18499756,94,2.331760645,250.3461761,23.3768,4.84165,0.002144,24.1414
4533,3362,AS-138,"Saluq, Tell",,267225.2868,4012587.126,36.40999745,36.23015392,1.75,437.5,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),752,66.15499878,91,0.894610703,164.7448883,26.5932,4.99308,0.002193,25.5286
4534,3363,AS-139,Kotubuyuk Hoyuk,,269071.2619,4013356.228,36.43029147,36.23752357,5,1250,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),739,66.30500031,92,1.754070282,280.3048401,25.3499,4.93157,0.001747,31.6974
4535,3364,AS-140,Khan Bessine,,272227.9099,4010806.943,36.4661278,36.21531189,,,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),708,66.33499908,110,3.423494339,285.9454041,17.9726,4.81748,0.002278,35.5972
4536,3365,AS-142,Tabarat Hamdah al-Qibli,,273286,4011605.369,36.47765732,36.22275179,,,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),693,66.34999847,100,1.722226977,300.068573,20.1903,4.61617,0.001893,37.178
4537,3366,AS-143,Besarslan (Tell Hamda),,274012.365,4013129.482,36.48529182,36.23664935,1.8,450,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),688,66.42500305,93,1.023000836,274.3987122,21.2021,4.84801,0.001896,37.514
4538,3367,AS-144,Bakhshin,,263664,4009805,36.37124854,36.20423376,,,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),792,66.13999939,98,0.941542327,0,53.7648,10.8034,0.006922,17.6369
4539,3368,AS-145,Tulul,,265844,4010322,36.39531948,36.20942,,,Refugia,Amuq,Amuq Valley,,Stratified,Unknown,No Burials,Braidwood 1937; Casana and Wilkinson 2005,Early Bronze Age (Undifferentiated),766,66.125,92,1.480219245,237.9946136,78.6857,10.2067,0.002897,16.9904
